timestamp,serial,frame,lat,lon,alt,vel_v,vel_h,heading,temp,humidity,pressure,type,freq_mhz,snr,f_error_hz,sats,batt_v,burst_timer,aux_data
2026-04-08T11:47:27.999Z,N5120764,2454,43.65079,6.42407,6373.2,3.0,5.6,225.8,-273.0,-1.0,-1.0,RS41,403.000,7.2,250,10,2.9,,
2026-04-08T11:47:29.999Z,N5120764,2456,43.65072,6.42398,6379.7,2.9,5.3,219.9,-273.0,-1.0,-1.0,RS41,403.000,7.9,250,10,2.9,,
2026-04-08T11:47:33.999Z,N5120764,2460,43.65056,6.42378,6392.4,2.7,5.6,228.0,-273.0,-1.0,-1.0,RS41,403.000,6.6,250,10,2.7,,
2026-04-08T11:47:34.999Z,N5120764,2461,43.65052,6.42373,6395.5,3.6,5.9,228.3,-273.0,-1.0,-1.0,RS41,403.000,7.5,250,10,2.9,,
2026-04-08T11:47:35.999Z,N5120764,2462,43.65049,6.42367,6398.7,3.0,6.0,228.3,-273.0,-1.0,-1.0,RS41,403.000,7.5,250,10,2.9,,
2026-04-08T11:47:36.999Z,N5120764,2463,43.65045,6.42362,6401.9,3.5,5.2,227.4,-273.0,-1.0,-1.0,RS41,403.000,7.3,250,10,2.9,,
2026-04-08T11:47:38.999Z,N5120764,2465,43.65039,6.42352,6408.3,3.8,5.9,224.1,-273.0,-1.0,-1.0,RS41,403.000,6.1,250,10,2.9,,
2026-04-08T11:47:39.999Z,N5120764,2466,43.65035,6.42347,6411.6,2.9,6.4,222.6,-273.0,-1.0,-1.0,RS41,403.000,8.2,250,10,2.9,,
2026-04-08T11:47:40.999Z,N5120764,2467,43.65031,6.42342,6415.0,4.1,5.8,221.4,-273.0,-1.0,-1.0,RS41,403.000,8.2,250,10,2.9,,
2026-04-08T11:47:41.999Z,N5120764,2468,43.65027,6.42337,6418.5,3.0,5.6,221.5,-273.0,-1.0,-1.0,RS41,403.000,7.4,250,10,2.9,,
2026-04-08T11:47:42.999Z,N5120764,2469,43.65023,6.42332,6421.6,3.4,6.0,221.2,-273.0,-1.0,-1.0,RS41,403.000,6.7,250,10,2.9,,
2026-04-08T11:47:43.999Z,N5120764,2470,43.65019,6.42327,6424.9,3.2,6.3,222.5,-273.0,-1.0,-1.0,RS41,403.000,8.7,250,10,2.9,,
2026-04-08T11:47:44.999Z,N5120764,2471,43.65015,6.42322,6428.0,3.0,5.9,225.9,-273.0,-1.0,-1.0,RS41,403.000,8.7,250,10,2.7,,
2026-04-08T11:47:46.999Z,N5120764,2473,43.65007,6.42311,6434.3,3.6,6.8,227.3,-273.0,-1.0,-1.0,RS41,403.000,7.4,250,10,2.9,,
2026-04-08T11:47:47.999Z,N5120764,2474,43.65003,6.42305,6437.5,3.4,6.9,226.3,-273.0,-1.0,-1.0,RS41,403.000,8.7,250,10,2.9,,
2026-04-08T11:47:48.999Z,N5120764,2475,43.64999,6.42299,6440.7,3.0,6.5,226.0,-273.0,-1.0,-1.0,RS41,403.000,8.7,250,10,2.9,,
2026-04-08T11:47:50.999Z,N5120764,2477,43.64990,6.42287,6447.0,3.0,7.0,222.9,-273.0,-1.0,-1.0,RS41,403.000,9.2,250,10,2.9,,
2026-04-08T11:47:51.999Z,N5120764,2478,43.64986,6.42281,6450.2,3.7,6.4,221.6,-273.0,-1.0,-1.0,RS41,403.000,9.2,250,10,2.9,,
2026-04-08T11:47:52.999Z,N5120764,2479,43.64982,6.42276,6453.5,2.7,5.9,223.0,-273.0,-1.0,-1.0,RS41,403.000,9.1,250,10,2.9,,
2026-04-08T11:47:53.999Z,N5120764,2480,43.64978,6.42271,6456.7,3.8,6.4,223.4,-273.0,-1.0,-1.0,RS41,403.000,7.8,250,10,2.9,,
2026-04-08T11:47:54.999Z,N5120764,2481,43.64973,6.42265,6460.1,3.2,6.7,223.5,-273.0,-1.0,-1.0,RS41,403.000,8.2,250,10,2.9,,
2026-04-08T11:47:55.999Z,N5120764,2482,43.64969,6.42260,6463.3,3.2,6.5,222.5,-273.0,-1.0,-1.0,RS41,403.000,8.3,250,10,2.7,,
2026-04-08T11:47:56.999Z,N5120764,2483,43.64964,6.42254,6466.5,3.5,6.7,220.0,-273.0,-1.0,-1.0,RS41-SGM,403.000,8.3,250,10,2.9,,
2026-04-08T11:47:57.999Z,N5120764,2484,43.64960,6.42249,6469.8,3.3,7.2,221.2,-273.0,-1.0,-1.0,RS41-SGM,403.000,9.1,250,10,2.9,,
2026-04-08T11:47:58.999Z,N5120764,2485,43.64955,6.42243,6472.9,3.5,6.7,224.7,-273.0,-1.0,-1.0,RS41-SGM,403.000,9.2,250,10,2.9,,
2026-04-08T11:47:59.999Z,N5120764,2486,43.64951,6.42237,6475.9,2.8,6.5,230.0,-273.0,-1.0,-1.0,RS41-SGM,403.000,9.2,250,10,2.9,,
