timestamp,serial,frame,lat,lon,alt,vel_v,vel_h,heading,temp,humidity,pressure,type,freq_mhz,snr,f_error_hz,sats,batt_v,burst_timer,aux_data
2026-05-24T12:13:08.004Z,X1424004,5921,45.40399,8.30816,21574.9,6.0,10.5,268.5,-273.0,-1.0,-1.0,RS41,404.900,6.6,250,10,2.5,,
2026-05-24T12:13:43.004Z,X1424004,5956,45.40403,8.30381,21755.9,4.7,10.8,278.4,-273.0,-1.0,-1.0,RS41,404.900,6.7,250,10,2.7,,
2026-05-24T12:14:12.004Z,X1424004,5985,45.40483,8.29935,21906.7,4.3,13.5,287.3,-273.0,-1.0,-1.0,RS41,404.900,6.6,250,10,2.6,,
2026-05-24T12:14:29.004Z,X1424004,6002,45.40561,8.29651,21999.1,6.6,14.3,295.5,-273.0,-1.0,-1.0,RS41,404.900,7.0,250,10,2.6,,
2026-05-24T12:14:43.004Z,X1424004,6016,45.40632,8.29473,22074.3,6.1,10.0,297.1,-273.0,-1.0,-1.0,RS41,404.900,7.4,250,10,2.7,,
2026-05-24T12:14:48.004Z,X1424004,6021,45.40648,8.29419,22100.1,4.6,8.1,296.5,-273.0,-1.0,-1.0,RS41,404.900,6.9,250,10,2.7,,
2026-05-24T12:14:54.004Z,X1424004,6027,45.40670,8.29356,22133.3,5.5,9.6,300.2,-273.0,-1.0,-1.0,RS41,404.900,7.1,250,10,2.7,,
2026-05-24T12:16:21.004Z,X1424004,6114,45.40671,8.28383,22603.3,5.7,9.5,264.5,-273.0,-1.0,-1.0,RS41,404.900,6.8,250,10,2.6,,
2026-05-24T12:16:24.004Z,X1424004,6117,45.40672,8.28351,22619.7,5.8,7.9,282.9,-273.0,-1.0,-1.0,RS41,404.900,7.2,250,10,2.6,,
2026-05-24T12:16:26.004Z,X1424004,6119,45.40675,8.28331,22631.1,4.8,8.5,278.2,-273.0,-1.0,-1.0,RS41,404.900,7.1,250,10,2.6,,
2026-05-24T12:16:36.004Z,X1424004,6129,45.40674,8.28219,22684.0,3.9,5.7,267.9,-273.0,-1.0,-1.0,RS41,404.900,8.5,250,10,2.6,,
2026-05-24T12:16:38.004Z,X1424004,6131,45.40675,8.28206,22694.5,6.4,5.6,281.6,-273.0,-1.0,-1.0,RS41,404.900,7.8,250,10,2.6,,
2026-05-24T12:16:39.004Z,X1424004,6132,45.40676,8.28198,22700.1,4.9,6.2,280.3,-273.0,-1.0,-1.0,RS41,404.900,7.6,250,10,2.6,,
2026-05-24T12:16:41.004Z,X1424004,6134,45.40679,8.28181,22711.6,6.2,7.8,287.3,-273.0,-1.0,-1.0,RS41,404.900,7.2,250,10,2.7,,
2026-05-24T12:16:43.004Z,X1424004,6136,45.40683,8.28161,22723.0,6.2,8.9,280.5,-273.0,-1.0,-1.0,RS41,404.900,8.3,250,10,2.6,,
2026-05-24T12:16:44.004Z,X1424004,6137,45.40684,8.28149,22729.1,6.1,9.4,271.2,-273.0,-1.0,-1.0,RS41,404.900,8.3,250,10,2.5,,
2026-05-24T12:16:45.004Z,X1424004,6138,45.40683,8.28137,22734.5,4.6,9.7,264.0,-273.0,-1.0,-1.0,RS41,404.900,7.1,250,10,2.7,,
2026-05-24T12:16:53.004Z,X1424004,6146,45.40669,8.28066,22778.6,6.4,7.2,256.1,-273.0,-1.0,-1.0,RS41,404.900,8.1,250,10,2.6,,
2026-05-24T12:16:54.004Z,X1424004,6147,45.40668,8.28056,22784.4,5.2,7.9,265.0,-273.0,-1.0,-1.0,RS41,404.900,8.1,250,10,2.6,,
2026-05-24T12:16:55.004Z,X1424004,6148,45.40668,8.28046,22789.4,4.8,9.0,269.2,-273.0,-1.0,-1.0,RS41,404.900,8.5,250,10,2.7,,
2026-05-24T12:16:56.004Z,X1424004,6149,45.40668,8.28033,22794.8,6.0,10.4,267.5,-273.0,-1.0,-1.0,RS41,404.900,9.0,250,10,2.7,,
2026-05-24T12:16:57.004Z,X1424004,6150,45.40667,8.28019,22800.7,5.6,11.4,262.6,-273.0,-1.0,-1.0,RS41,404.900,9.0,250,10,2.6,,
2026-05-24T12:16:58.004Z,X1424004,6151,45.40665,8.28005,22806.0,5.1,11.7,259.5,-273.0,-1.0,-1.0,RS41,404.900,8.9,250,10,2.6,,
2026-05-24T12:16:59.004Z,X1424004,6152,45.40663,8.27991,22811.7,6.2,11.4,258.1,-273.0,-1.0,-1.0,RS41,404.900,8.4,250,10,2.6,,
2026-05-24T12:17:00.004Z,X1424004,6153,45.40661,8.27977,22817.4,5.1,10.7,257.9,-273.0,-1.0,-1.0,RS41,404.900,6.8,250,10,2.5,,
2026-05-24T12:17:03.004Z,X1424004,6156,45.40653,8.27942,22833.4,5.2,9.2,242.1,-273.0,-1.0,-1.0,RS41,404.900,8.0,250,10,2.7,,
2026-05-24T12:17:04.004Z,X1424004,6157,45.40649,8.27932,22838.4,4.8,9.1,238.7,-273.0,-1.0,-1.0,RS41,404.900,8.0,250,10,2.6,,
2026-05-24T12:17:05.004Z,X1424004,6158,45.40645,8.27922,22843.9,6.3,8.8,241.6,-273.0,-1.0,-1.0,RS41,404.900,7.4,250,10,2.6,,
2026-05-24T12:17:06.004Z,X1424004,6159,45.40642,8.27912,22850.1,6.0,8.6,250.1,-273.0,-1.0,-1.0,RS41,404.900,7.9,250,10,2.6,,
2026-05-24T12:17:07.004Z,X1424004,6160,45.40640,8.27901,22855.7,5.2,9.1,257.8,-273.0,-1.0,-1.0,RS41,404.900,7.9,250,10,2.6,,
2026-05-24T12:17:09.004Z,X1424004,6162,45.40637,8.27875,22867.2,5.7,11.3,263.9,-273.0,-1.0,-1.0,RS41,404.900,6.5,250,10,2.7,,
2026-05-24T12:17:10.004Z,X1424004,6163,45.40636,8.27861,22872.3,4.5,12.0,263.8,-273.0,-1.0,-1.0,RS41,404.900,6.7,250,10,2.6,,
2026-05-24T12:17:12.004Z,X1424004,6165,45.40634,8.27830,22882.7,5.8,12.3,267.6,-273.0,-1.0,-1.0,RS41,404.900,7.9,250,10,2.6,,
2026-05-24T12:17:13.004Z,X1424004,6166,45.40634,8.27814,22888.0,4.7,12.0,268.5,-273.0,-1.0,-1.0,RS41,404.900,7.8,250,10,2.7,,
2026-05-24T12:17:14.004Z,X1424004,6167,45.40633,8.27799,22892.6,4.6,11.9,265.6,-273.0,-1.0,-1.0,RS41,404.900,7.8,250,10,2.7,,
2026-05-24T12:17:15.004Z,X1424004,6168,45.40632,8.27784,22897.9,5.8,12.1,258.1,-273.0,-1.0,-1.0,RS41,404.900,7.1,250,10,2.6,,
2026-05-24T12:17:18.004Z,X1424004,6171,45.40619,8.27739,22913.3,4.8,13.0,239.5,-273.0,-1.0,-1.0,RS41,404.900,7.6,250,10,2.7,,
2026-05-24T12:17:19.004Z,X1424004,6172,45.40613,8.27725,22919.0,6.7,11.9,237.4,-273.0,-1.0,-1.0,RS41,404.900,7.9,250,10,2.7,,
2026-05-24T12:17:20.004Z,X1424004,6173,45.40608,8.27713,22925.0,5.2,10.8,239.8,-273.0,-1.0,-1.0,RS41,404.900,9.0,250,10,2.6,,
2026-05-24T12:17:22.004Z,X1424004,6175,45.40600,8.27689,22935.4,6.3,10.2,251.4,-273.0,-1.0,-1.0,RS41,404.900,7.9,250,10,2.6,,
2026-05-24T12:17:23.004Z,X1424004,6176,45.40597,8.27676,22941.2,5.4,11.0,256.7,-273.0,-1.0,-1.0,RS41,404.900,8.3,250,10,2.7,,
2026-05-24T12:17:24.004Z,X1424004,6177,45.40596,8.27662,22946.6,5.3,11.6,262.5,-273.0,-1.0,-1.0,RS41,404.900,8.3,250,10,2.7,,
2026-05-24T12:17:27.004Z,X1424004,6180,45.40597,8.27618,22963.0,4.5,11.5,279.2,-273.0,-1.0,-1.0,RS41,404.900,7.8,250,10,2.6,,
2026-05-24T12:17:28.004Z,X1424004,6181,45.40598,8.27603,22967.5,4.5,11.3,279.5,-273.0,-1.0,-1.0,RS41,404.900,8.3,250,10,2.5,,
2026-05-24T12:17:29.004Z,X1424004,6182,45.40600,8.27589,22972.7,6.1,11.3,274.4,-273.0,-1.0,-1.0,RS41,404.900,8.3,250,10,2.7,,
2026-05-24T12:17:30.004Z,X1424004,6183,45.40600,8.27575,22978.5,5.4,11.5,267.6,-273.0,-1.0,-1.0,RS41,404.900,8.1,250,10,2.7,,
2026-05-24T12:17:32.004Z,X1424004,6185,45.40597,8.27546,22989.0,6.0,10.9,259.5,-273.0,-1.0,-1.0,RS41,404.900,8.9,250,10,2.6,,
2026-05-24T12:17:33.004Z,X1424004,6186,45.40595,8.27533,22994.7,5.3,9.9,259.8,-273.0,-1.0,-1.0,RS41,404.900,8.9,250,10,2.6,,
2026-05-24T12:17:34.004Z,X1424004,6187,45.40594,8.27521,22999.8,4.9,9.0,262.4,-273.0,-1.0,-1.0,RS41,404.900,8.9,250,10,2.6,,
2026-05-24T12:17:35.004Z,X1424004,6188,45.40593,8.27510,23004.3,4.1,8.6,264.6,-273.0,-1.0,-1.0,RS41,404.900,8.9,250,10,2.6,,
